,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,312,322,123,325,155,260,31,32,27,90,75,64,318,273,322,131,328,207,122,318,173,283,140,42,83,255,89,159,318,321,181,273,182,56,295,253,64,183,131,172,127,318,13,257,207,318,273,217,140,68,171,318,173,58,300,131,255,13,312,322,140,20,131,255,13,257,207,318,168,74,181,190,263,321,239,90,192,83,90,185,166,118,307,168,74,181,190,318,86,58,173,2,0,0,0,0,0,0,0,0
1,312,322,140,237,207,228,321,28,159,101,318,323,24,124,311,241,7,189,150,106,17,174,83,17,72,207,280,132,261,207,58,173,246,312,322,140,35,290,199,207,73,315,321,164,95,90,319,207,119,118,58,323,312,159,301,315,173,115,249,233,83,11,13,36,83,121,273,164,95,207,119,118,58,273,31,83,140,195,258,32,326,83,207,231,318,168,74,181,190,318,86,58,173,2,0,0,0,0,0,0
2,243,33,85,17,296,83,140,324,225,188,39,36,54,312,322,207,318,156,318,173,105,147,33,240,140,188,177,157,112,54,127,318,190,322,318,156,318,173,62,318,13,312,322,255,104,186,322,288,26,318,273,217,245,211,219,38,43,225,273,293,190,67,318,11,321,306,187,162,90,151,159,16,118,233,11,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,243,272,69,222,17,240,90,14,83,121,273,177,188,157,112,54,35,290,199,207,210,318,168,74,181,273,223,88,247,187,128,140,312,322,207,154,105,27,207,318,168,217,207,126,41,93,62,318,13,312,322,255,104,186,322,288,26,318,273,217,245,211,219,38,43,225,273,293,190,67,318,11,321,306,187,162,90,151,159,16,118,233,11,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,244,222,102,17,262,83,140,154,268,36,54,223,88,17,312,322,247,200,36,54,17,10,13,31,207,126,318,173,311,27,102,17,199,31,288,276,318,173,62,318,13,312,322,255,104,186,322,288,26,318,273,217,245,211,219,38,43,225,273,293,190,67,318,11,321,306,187,162,90,151,159,16,118,233,11,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,125,255,8,318,11,13,19,233,181,120,13,36,83,140,164,95,207,16,118,326,207,280,300,59,86,154,105,27,102,312,322,207,318,273,217,207,153,250,173,62,318,13,312,322,255,104,186,322,288,26,318,273,217,245,211,219,38,43,225,273,293,190,67,318,11,321,306,187,162,90,151,159,16,118,233,11,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,271,33,85,17,296,83,140,324,54,264,131,172,312,322,207,318,86,58,218,318,173,62,318,13,312,322,255,104,186,322,288,26,318,273,217,245,211,219,38,43,225,273,293,190,67,318,11,321,306,187,162,90,151,159,16,118,233,11,333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,60,255,71,84,21,207,318,84,136,225,178,233,181,146,31,207,318,11,275,26,286,173,75,64,87,318,13,144,207,99,11,321,137,32,48,159,274,86,116,294,149,173,79,32,204,159,284,208,116,310,304,111,42,83,90,4,159,65,11,321,292,11,300,279,37,225,117,318,11,168,327,189,75,172,329,11,168,327,304,278,332,212,207,184,138,120,11,333,317,90,278,233,285,273,29,255,9,232,212,2
8,133,225,31,207,26,318,321,181,205,146,260,290,25,140,187,233,320,140,312,322,176,67,318,11,333,243,272,198,54,80,190,67,318,321,150,58,225,130,142,226,47,36,102,167,112,207,22,318,227,312,322,162,207,16,118,129,11,333,61,255,143,318,307,55,140,29,64,314,294,13,112,54,31,207,318,273,217,245,80,190,150,169,31,318,273,217,255,185,160,318,321,107,131,255,173,326,207,280,321,2
9,271,33,85,296,179,233,297,13,163,64,318,168,74,181,273,97,159,252,145,11,333,30,97,159,52,233,15,118,181,207,54,150,169,318,273,217,207,126,318,173,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
