,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1,11,144,96,45,70,223,304,26,94,117,88,259,263,278,144,315,59,328,151,263,248,137,230,182,37,19,133,294,263,75,125,278,300,153,25,159,259,150,315,206,240,263,271,30,328,263,278,73,230,167,132,263,248,183,224,315,19,271,11,144,230,305,315,19,271,30,328,263,97,41,125,33,218,75,130,117,105,37,117,163,49,185,16,97,41,125,33,263,102,183,248,0,0,0,0,0,0,0,0
1,1,11,144,230,235,328,249,75,250,294,191,263,194,178,36,209,251,39,149,157,203,116,18,37,116,262,328,98,148,275,328,183,248,43,11,144,230,317,311,204,328,134,56,75,31,195,117,168,328,253,185,183,194,11,294,21,56,248,308,154,20,37,318,271,172,37,113,278,31,195,328,253,185,183,278,304,37,230,270,260,26,244,37,328,221,263,97,41,125,33,263,102,183,248,0,0,0,0,0,0
2,1,241,213,288,116,95,37,230,135,299,54,22,172,106,11,144,328,263,207,263,248,66,173,213,109,230,54,280,171,228,106,240,263,33,144,263,207,263,248,331,263,271,11,144,19,68,108,144,90,247,263,278,73,276,220,292,76,27,299,278,4,33,277,263,318,75,129,229,302,117,320,294,254,185,20,318,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,241,245,44,187,116,109,117,160,37,113,278,280,54,171,228,106,317,311,204,328,152,263,97,41,125,278,179,40,180,229,84,230,11,144,328,189,66,94,328,263,97,73,328,128,334,87,331,263,271,11,144,19,68,108,144,90,247,263,278,73,276,220,292,76,27,299,278,4,33,277,263,318,75,129,229,302,117,320,294,254,185,20,318,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,127,187,186,116,298,37,230,189,279,172,106,179,40,116,11,144,180,265,172,106,116,309,271,304,328,128,263,248,209,94,186,116,204,304,90,126,263,248,331,263,271,11,144,19,68,108,144,90,247,263,278,73,276,220,292,76,27,299,278,4,33,277,263,318,75,129,229,302,117,320,294,254,185,20,318,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,38,19,14,263,318,271,120,20,125,9,271,172,37,230,31,195,328,254,185,244,328,98,224,324,102,189,66,94,186,11,144,328,263,278,73,328,101,216,248,331,263,271,11,144,19,68,108,144,90,247,263,278,73,276,220,292,76,27,299,278,4,33,277,263,318,75,129,229,302,117,320,294,254,185,20,318,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,310,213,288,116,95,37,230,135,106,131,315,206,11,144,328,263,102,183,110,263,248,331,263,271,11,144,19,68,108,144,90,247,263,278,73,276,220,292,76,27,299,278,4,33,277,263,318,75,129,229,302,117,320,294,254,185,20,318,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,104,19,47,193,107,328,263,193,32,299,284,20,125,161,304,328,263,318,60,247,6,248,88,259,72,263,271,93,328,246,318,75,99,26,34,294,142,102,281,285,326,248,181,26,17,294,266,85,281,301,233,81,182,37,117,8,294,199,318,75,252,318,224,69,103,299,202,263,318,97,198,149,88,206,79,318,97,198,233,205,57,13,328,188,158,9,318,215,211,117,205,20,80,278,289,19,166,28,13
8,1,74,299,304,328,247,263,75,125,55,161,223,311,112,230,229,20,139,230,11,144,141,277,263,318,215,241,245,291,106,165,33,277,263,75,157,183,299,196,282,111,170,172,186,35,228,328,286,263,115,11,144,302,328,254,185,119,318,215,330,19,212,263,16,143,230,289,259,118,285,271,228,106,304,328,263,278,73,276,165,33,157,78,304,263,278,73,19,163,329,263,75,319,315,19,248,244,328,98,75
9,1,310,213,288,95,164,20,327,271,122,259,263,97,41,125,278,5,294,255,192,318,215,307,5,294,306,20,100,185,125,328,106,157,78,263,278,73,328,128,263,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
